2015-05-06 17:09:14,521 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 76 
2015-05-06 17:09:14,521 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 76 
2015-05-06 17:09:14,522 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 75 
2015-05-06 17:09:14,522 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 75 
2015-05-06 17:09:14,522 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 75 
2015-05-06 17:09:14,522 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 75 
2015-05-06 17:09:14,523 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 74 
2015-05-06 17:09:14,523 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 74 
2015-05-06 17:09:14,523 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 74 
2015-05-06 17:09:14,523 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 74 
2015-05-06 17:09:14,524 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 73 
2015-05-06 17:09:14,524 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 73 
2015-05-06 17:09:14,524 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 73 
2015-05-06 17:09:14,524 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 73 
2015-05-06 17:09:14,525 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 72 
2015-05-06 17:09:14,525 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 72 
2015-05-06 17:09:14,525 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 72 
2015-05-06 17:09:14,525 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 72 
2015-05-06 17:09:14,526 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 71 
2015-05-06 17:09:14,526 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 71 
2015-05-06 17:09:14,526 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 71 
2015-05-06 17:09:14,526 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 71 
2015-05-06 17:09:14,527 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 70 
2015-05-06 17:09:14,527 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 70 
2015-05-06 17:09:14,527 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 70 
2015-05-06 17:09:14,527 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 70 
2015-05-06 17:09:14,528 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 69 
2015-05-06 17:09:14,528 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 69 
2015-05-06 17:09:14,528 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 69 
2015-05-06 17:09:14,528 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 69 
2015-05-06 17:09:14,529 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 68 
2015-05-06 17:09:14,529 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 68 
2015-05-06 17:09:14,529 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 68 
2015-05-06 17:09:14,529 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 68 
2015-05-06 17:09:14,530 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 67 
2015-05-06 17:09:14,530 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 67 
2015-05-06 17:09:14,530 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 67 
2015-05-06 17:09:14,530 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 67 
2015-05-06 17:09:14,531 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 66 
2015-05-06 17:09:14,531 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 66 
2015-05-06 17:09:14,531 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 66 
2015-05-06 17:09:14,531 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 66 
2015-05-06 17:09:14,532 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 65 
2015-05-06 17:09:14,532 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 65 
2015-05-06 17:09:14,532 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 65 
2015-05-06 17:09:14,532 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 65 
2015-05-06 17:09:14,533 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 64 
2015-05-06 17:09:14,533 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 64 
2015-05-06 17:09:14,533 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 64 
2015-05-06 17:09:14,533 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 64 
2015-05-06 17:09:14,534 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 63 
2015-05-06 17:09:14,534 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 63 
2015-05-06 17:09:14,534 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 63 
2015-05-06 17:09:14,534 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 63 
2015-05-06 17:09:14,535 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 62 
2015-05-06 17:09:14,535 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 62 
2015-05-06 17:09:14,535 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 62 
2015-05-06 17:09:14,535 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 62 
